Main Street,Roads Service Car Park,Belleek,FERMANAGH
Queen Street,Roads Service Car Park,Enniskillen,FERMANAGH
Eden Street,,Enniskillen,FERMANAGH
Down/Market/Cross Street,,Enniskillen,FERMANAGH
Welligton Street,,Enniskillen,FERMANAGH,Standard Public
Quay Lane North,,Enniskillen,FERMANAGH,Standard Public
Main Street,Roads Service Car Park,Irvinestown,FERMANAGH
Cross Street,Roads Service Car Park,Lisnaskea,FERMANAGH
Templemore Leisure Centre,,,LONDONDERRY
Bishop Street Car Park,,,LONDONDERRY
Strand Road,,,LONDONDERRY
The Diamond on street parking,,,LONDONDERRY
Victoria Market Car Park,,,LONDONDERRY
Carlisle Road on street parking,,,LONDONDERRY
Railway Yard,,,LONDONDERRY
South West College,,,COOKSTOWN
Donnelly Group Garage,"M1, Junction 15",,DUNGANNON,Rapid Charger
Jamsies Garage,Glenshane Pass,,MAGHERAFELT,Rapid Charger
Cathedral Road Recreational Centre,,,ARMAGH
Lonsdale Street Roads Cervice car park,,,ARMAGH
Linenhall Street Roads Service car park,,,ARMAGH
Palace Demesne,,,ARMAGH
Newry Train Station,,,NEWRY
Fiveways Shops and Service Station,,,NEWRY,Rapid Charger
Monaghan Street on street parking,,,NEWRY
Bridge Street car park,,,NEWRY
Canal Court Hotel,,,NEWRY
Hill Street on street parking,,,NEWRY
Basin Walk car park,,,NEWRY
Bagnels Castle,,,NEWRY
Havelock Place,,,LARNE
Hope Street North car park,Bruce Street,,BELFAST
Lower Crescent on street parking,,,BELFAST
Dublin Road on street parking,,,BELFAST
Little Victoria Street car park,,,BELFAST
Little Donegall Street,,,BELFAST
Adelaide Street on street parking,,,BELFAST
Cromac Street car park,,,BELFAST
Corporation Square car Park,,,BELFAST
Central Station car park,,,BELFAST
Cairns Hill Park and Ride,,,BELFAST
Riverdale,,,LARNE
Narrow Guage Road,,,LARNE
Agnew Street,,,LARNE
